,date,pos,neg
0,2020-12-15,146,94
1,2020-12-14,197,155
2,2020-12-13,165,101
3,2020-12-12,186,133
4,2020-12-11,291,256
5,2020-12-10,270,294
6,2020-12-09,296,305
7,2020-12-08,412,406
8,2020-12-07,242,296
9,2020-12-06,166,188
10,2020-12-05,306,209
11,2020-12-04,795,672
12,2020-12-03,650,561
13,2020-12-02,348,213
14,2020-12-01,405,391
15,2020-11-30,389,312
16,2020-11-29,212,228
17,2020-11-28,209,204
18,2020-11-27,130,114
19,2020-11-26,233,235
20,2020-11-25,394,263
21,2020-11-24,255,193
22,2020-11-23,136,140
23,2020-11-22,123,28
24,2020-11-21,197,201
25,2020-11-20,268,229
26,2020-11-19,306,217
27,2020-11-18,315,268
28,2020-11-17,476,335
29,2020-11-16,366,196
30,2020-11-15,112,87
31,2020-11-14,309,165
32,2020-11-13,347,235
33,2020-11-12,280,162
34,2020-11-11,275,183
35,2020-11-10,358,209
36,2020-11-09,169,127
37,2020-11-08,23,54
38,2020-11-07,125,102
39,2020-11-06,19,28
