,date,pos,neg
0,2020-11-25,0,1
1,2020-10-21,170,208
2,2020-10-20,191,312
3,2020-10-19,163,160
4,2020-10-18,91,59
5,2020-10-17,89,106
6,2020-10-16,175,180
7,2020-10-15,53,120
8,2020-10-14,97,69
9,2020-10-13,148,105
10,2020-10-12,79,147
11,2020-10-11,44,33
12,2020-10-10,58,72
13,2020-10-09,59,78
14,2020-10-08,146,182
15,2020-10-07,247,178
16,2020-10-06,187,80
17,2020-10-05,110,53
18,2020-10-04,39,35
19,2020-10-03,64,130
20,2020-10-02,24,23
21,2020-10-01,46,69
22,2020-09-30,82,125
23,2020-09-29,200,167
24,2020-09-28,211,181
25,2020-09-27,75,94
26,2020-09-26,129,93
27,2020-09-25,208,251
28,2020-09-24,295,328
29,2020-09-23,238,262
30,2020-09-22,336,617
31,2020-09-21,156,212
32,2020-09-20,52,37
33,2020-09-19,30,55
34,2020-09-18,195,244
35,2020-09-17,199,370
36,2020-09-16,247,266
37,2020-09-15,413,334
38,2020-09-14,381,397
39,2020-09-13,158,197
40,2020-09-12,179,387
41,2020-09-11,569,592
42,2020-09-10,669,407
43,2020-09-09,524,581
44,2020-09-08,588,559
45,2020-09-07,476,427
46,2020-09-06,115,117
47,2020-09-05,208,257
48,2020-09-04,245,318
