,date,pos,neg
0,2020-11-24,1480,1537
1,2020-11-23,1785,1445
2,2020-11-22,1734,1968
3,2020-11-21,1738,1874
4,2020-11-20,1958,2422
5,2020-11-19,3582,4329
6,2020-11-18,2831,4037
